#Term,Coding,strong,akt/pass,Wortart,Emotion 1,Emotion 2
Adjektive,,,,,,
sorglos,,,,adjektiv,Vertrauen,
spaßhaft,F_POS,,,adjektiv,Freude,
spassig,,,,adjektiv,Freude,
staunend,,,,adjektiv,Überraschung,
stillvergnügt,,,,adjektiv,Freude,
stolz,,,,adjektiv,Ekel,
streitsüchtig,,,,adjektiv,Erwartung,Ärger
stumpfsinnig,,,,adjektiv,Ekel,
tapfer,,,,adjektiv,Vertrauen,
terrorisiert,,,,adjektiv,Furcht,
tiefbewegt,F_POS,strong,,adjektiv,Traurigkeit,
tiefsinnig,,,,adjektiv,Traurigkeit,
tieftraurig,F_NEG,strong,,adjektiv,Traurigkeit,
tobsüchtig,,,,adjektiv,Ärger,
todtraurig,F_NEG,strong,aktiv,adjektiv,Traurigkeit,
todunglücklich,F_NEG,strong,,adjektiv,Traurigkeit,
trauernd,F_NEG,,aktiv,adjektiv,Traurigkeit,
traurig,F_NEG,,,adjektiv,Traurigkeit,
trostlos,F_NEG,,,adjektiv,Traurigkeit,
trostreich,F_POS,,,adjektiv,Traurigkeit,
trübsinnig,F_NEG,strong,,adjektiv,Traurigkeit,
übelgelaunt,F_NEG,strong,,adjektiv,Ärger,
überglücklich,F_POS,strong,,adjektiv,Freude,
überheblich,,,,adjektiv,Ekel,
überkandidelt,F_NEG,,,adjektiv,??emotion??,
überlastet,,,,adjektiv,Traurigkeit,
übermütig,,,,adjektiv,Freude,
überrascht,,,,adjektiv,Überraschung,
überwältigend,F_POS,,,adjektiv,Überraschung,
überwältigt,,,,adjektiv,Überraschung,
ulkig,F_NEG,,,adjektiv,Freude,
unbekümmert,,,,adjektiv,Freude,
unbeschwert,,,,adjektiv,Freude,
ungeduldig,,,,adjektiv,Ärger,
unglücklich,F_NEG,,,adjektiv,Traurigkeit,
unsicher,,,,adjektiv,Furcht,
unterwürfig,,,,adjektiv,Furcht,Vertrauen
untröstlich,F_NEG,,,adjektiv,Traurigkeit,
unverzagt,F_POS,,,adjektiv,Vertrauen,
unzufrieden,,,,adjektiv,Ärger,
verachtet,,,,adjektiv,Ekel,
verängstigt,F_NEG,strong,,adjektiv,Furcht,
verärgert,F_NEG,,,adjektiv,Ärger,
verbittert,,,,adjektiv,Traurigkeit,
verblüffend,,,,adjektiv,Überraschung,
verblüfft,,,,adjektiv,Überraschung,
verdrossen,,,,adjektiv,Ärger,
verdutzt,F_NEG,,,adjektiv,Überraschung,
verehrt,,,,adjektiv,Vertrauen,
vergnügt,F_POS,,,adjektiv,Freude,
vergöttert,,,,adjektiv,Vertrauen,
vergrämt,F_NEG,,,adjektiv,Traurigkeit,Ärger
verhaßt,F_NEG,strong,,adjektiv,Ekel,
verlegen,,,,adjektiv,Furcht,
verletzt,,,,adjektiv,Traurigkeit,
verliebt,F_POS,,,adjektiv,Freude,
verschämt,F_NEG,strong,,adjektiv,Ekel,
verschüchtert,F_NEG,,,adjektiv,Furcht,
versöhnt,,,,adjektiv,Vertrauen,
versonnen,,,,adjektiv,Vertrauen,
verstimmt,F_NEG,,,adjektiv,Ärger,
verstört,,,,adjektiv,Furcht,
verträumt,,,,adjektiv,Freude,
verwirrt,F_NEG,,,adjektiv,Überraschung,
verzückt,,,,adjektiv,Freude,
verzweifelt,F_NEG,,,adjektiv,Traurigkeit,
vorfreudig,,,,adjektiv,Freude,Erwartung
vorsichtig,,,,adjektiv,Furcht,
warmherzig,,,,adjektiv,Freude,Vertrauen
weh,F_NEG,,,adjektiv,Traurigkeit,
wehmütig,F_NEG,,,adjektiv,Traurigkeit,
wild,,,,adjektiv,Ärger,
wohlgemut,,,,adjektiv,Freude,
wohlig,F_POS,,,adjektiv,Freude,
wonnetrunken,,,,adjektiv,Freude,
wunschlos,,,,adjektiv,Freude,
wütend,F_NEG,,,adjektiv,Ärger,
wütig,,,,adjektiv,Ärger,
zaghaft,,,,adjektiv,Furcht,
zartfühlend,F_POS,,,adjektiv,Vertrauen,
zärtlich,,,,adjektiv,Vertrauen,
zerknirscht,F_NEG,,,adjektiv,Ärger,
zermürbt,,,,adjektiv,Traurigkeit,
zimperlich,F_NEG,,,adjektiv,Furcht,
zornig,F_NEG,,aktiv,adjektiv,Ärger,
zufrieden,F_POS,,,adjektiv,Freude,
zukunftsfroh,F_POS,,,adjektiv,Erwartung,Vertrauen
zurückhaltend,,,,adjektiv,Furcht,
