word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Drucker	5.031250	0.712000	2.180328	1.688275	2.532258	2.147952	13	7	2
Duft	6.290323	1.986736	5.693548	2.577257	5.741936	2.868343	12	4	1
Dummheit	3.593750	2.021462	5.645161	2.173588	7.870968	1.654441	12	8	2
D¸rre	3.750000	2.015811	4.203125	2.146830	5.096774	2.622161	13	5	2
Dusche	5.758065	1.930646	3.968254	2.488478	1.571429	0.962428	13	6	2
Echo	5.312500	1.125110	3.890625	2.303325	5.793651	2.754227	11	4	2
Efeu	5.468750	1.447151	2.951613	2.213427	1.650794	1.369704	15	4	2
Effekt	5.312500	1.193567	2.952381	2.011488	6.774194	2.307645	11	6	2
Ehe	5.777778	2.105633	5.746032	2.416130	5.770492	2.783244	10	3	2
Ehre	6.380952	2.239157	4.875000	2.353653	8.147541	1.514772	10	4	2
Ehrung	6.333333	1.934408	5.253968	2.416130	7.661290	1.745660	12	6	2
Eiche	5.187500	1.355471	2.428571	1.981481	1.666667	1.402762	13	5	2
Eifer	5.793651	2.237213	4.968750	2.302302	7.903226	1.339313	12	5	2
Einfahrt	5.093750	0.830352	1.983871	1.583645	4.079365	2.629250	13	8	2
Eintritt	5.046875	0.880651	2.714286	1.912848	6.000000	2.781673	10	8	2
Eisen	4.703125	1.177564	2.206349	1.815336	2.213115	1.924532	12	5	2
Eiter	3.253968	2.355284	6.047619	2.317038	2.612903	2.249625	17	5	2
Ekel	3.312500	2.429155	6.532258	2.147952	7.887097	1.660583	13	4	2
Ekzem	3.269841	2.477032	6.109375	2.679239	3.000000	2.276033	18	5	2
Elan	5.873016	1.955077	4.650794	2.342860	7.870968	1.454038	13	4	2
Elend	2.919355	2.812725	6.682540	2.277700	6.806452	2.164079	11	5	2
Elfe	6.190476	2.006901	4.609375	2.327320	5.096774	2.861329	16	4	2
Engel	6.718750	2.291937	5.650794	2.597510	4.483871	3.044705	10	5	2
Ente	5.555556	1.456662	2.693548	2.100653	1.596774	1.487210	13	4	2
Erbse	5.140625	1.180089	1.951613	1.731364	1.444444	1.059181	17	5	2
Eule	5.406250	1.317992	2.983871	2.146228	1.714286	1.288016	14	4	2
Fabel	5.523810	1.401119	2.596774	1.664082	4.737705	2.713556	13	5	2
Fackel	5.328125	1.543596	4.031250	2.383600	1.619048	1.197155	14	6	2
Faden	5.062500	0.613990	2.114754	1.761613	1.698413	1.041632	13	5	2
F‰hre	5.492064	1.255607	2.396825	1.764705	1.777778	1.590744	12	5	2
Fahrer	5.328125	1.084592	2.344262	1.878699	3.758065	2.393197	9	6	2
Fahrt	5.359375	1.173344	2.460318	1.776417	5.338710	2.804818	10	5	1
Faktor	5.046875	1.030175	2.290323	2.051685	6.412698	2.697878	11	6	2
Falle	3.571429	1.997695	4.781250	2.360177	4.080645	2.729910	11	5	2
Farbe	5.777778	1.518111	3.750000	2.343515	4.564516	3.033264	10	5	2
Farmer	5.156250	0.929563	2.229508	1.657241	3.238095	2.441009	13	6	2
Faser	4.936508	0.877552	2.557377	1.928078	2.269841	1.648130	15	5	2
Fass	5.078125	1.276213	2.467742	2.022154	1.587302	1.087093	14	4	1
F‰ulnis	3.156250	2.317763	4.920635	2.509990	4.777778	2.690752	16	7	2
Fee	6.349206	2.156451	4.312500	2.461610	5.193548	3.171795	14	3	1
Feier	6.546875	2.188931	5.156250	2.262312	4.396825	2.738847	11	5	2
Feigling	3.812500	1.859126	5.828125	2.271666	6.126984	2.386062	15	8	2
Feind	3.079365	2.384774	7.000000	2.123190	6.016129	2.538180	10	5	1
Feld	5.171875	1.091885	2.129032	1.750727	2.451613	2.005545	10	4	1
Felsen	5.390625	1.304658	3.274194	2.166582	1.258065	0.541264	11	6	2
Fenster	5.359375	1.337698	2.290323	1.643538	1.460318	0.667818	9	7	2
Ferse	4.953125	0.652947	2.562500	1.876124	1.919355	1.485431	15	5	2
Fessel	3.921875	1.978493	5.687500	2.701411	2.114754	1.592675	15	6	2
